Date,Initials,Supplier,Location,Contact,PO#,Notes,Material,Weight / lbs,PU Date,Carrier,Border Crossing, Rate $ , Invoice Approved ,Rate,B/L sent,Customs
2024-08-08,MD,Amerinox,"Camden, NJ",Rick,C209053,,"304L 1/4"" x 48 x 96 / 120","23,000lbs",,,,,,Y,Y,Y
2024-08-06,MD,Spectrum Metals,"Warminster, PA",Patrick,P215459,,"304L, 22ga x  13.3/8"" x coil","2,000lbs",,,,,,Y,Y,Y
2024-08-15,BL,Ta Chen,"Atlanta, GA",Andrew,P215488,,"304L, 6 x 6 x 3/8 x 20'","4,200lbs",2024-08-21,DVL,,"$1,095.00",,Y,Y,Y
2024-08-09,PG,Main Steel,"Harmony, PA",Mark,C209033,RUSH,"304L .063"" x 48"" x coil","56,000lbs",2024-08-21,Formule Transit,"Lacolle, QC","$2,100.00",,Y,Y,Y
2024-08-15,BL,Ta Chen,"Burlington, NJ",Andrew,P215501,,"316L, 1/4"" x 60"" x 120","3,500lbs",2024-08-23,Formule Transit,"Lacolle, QC","$1,400.00",,Y,Y,Y
2024-08-20,MD,Amerinox,"Camden, NJ",Rick,C209062,,"304L  5-16"" x 60 x 120","16,000lbs",,,,,,Y,Y,Y
2024-08-09,UT,Amerinox,"Camden, NJ",Rick,C209034,," SPL 304L HRAP NO PAPER 3/16"" x 72"" x 240"" / 120""","22,201lbs",,,,,,Y,Y,Y
2024-08-22,DAN,Main Steel,"Elk Grove Village, IL",Shawn,C209037,,"SSH 201LN 1/4 HARD PAPER .090 x 48"" x 96""","33,370lbs",2024-08-26,Essence,"Windsor, ON","$2,050.00",,Y,Y,Y
2024-08-22,UT,Kingmaker,"Somerset, NJ",Kristine,P215510,," SST 304 HRAP 3"" x 1/4"" x 20'","3,740lbs",2024-08-27,Formule Transit,"Lacolle, QC","$1,400.00",,Y,Y,Y
2024-08-22,UT,Amerinox,"Camden, NJ",Rick,C209065,,"SPL 316L HRAP NO PAPER 3/16"" x 60"" x 120""","14,895lbs",,,,,,Y,Y,Y
